"Estimate.BLUE.Yield","Std.Err.Yield","df.Yield","t.val.Yield","Pr.t.Yield","Pedigree","Yield.t.ha.BLUE","Env","Pedigree.Env","Estimate.BLUE.DTA","Std.Err.DTA","df.DTA","t.val.DTA","Pr.t.DTA","DTA.BLUE","Estimate.BLUE.DTS","Std.Err.DTS","df.DTS","t.val.DTS","Pr.t.DTS","DTS.BLUE","ASI","ASI.Abs"
-3.18078291509016,1.81594920949199,228.75235298606,-1.75158143105775,0.0811859630080222,"W10004_0689/PHZ51",11.1003233880909,"TXH2.2021","W10004_0689/PHZ51.TXH2.2021",-0.855365255955917,1.61879571298073,240.873906467621,-0.528396047195426,0.597710970228177,70.422916020654,-1.86537449837138,1.62779891595054,247.376690092988,-1.14594897446661,0.252923583004365,70.8432969992518,-0.420380978597805,0.420380978597805
-5.19157699096488,1.85575538183841,235.632579376864,-2.79755459247103,0.00557473549190143,"W10004_0696/PHZ51",9.08952931221618,"TXH2.2021","W10004_0696/PHZ51.TXH2.2021",1.30145189554524,1.61558851753005,239.395124154409,0.805559015444678,0.421296569043149,72.5797331721551,0.217665088892326,1.62690640697355,246.812176041171,0.133790787201605,0.893677039436522,72.9263365865155,-0.346603414360402,0.346603414360402
-4.92219363524319,1.76748558615018,215.174748796694,-2.78485645020981,0.00583261671642631,"W10004_0697/PHZ51",9.35891266793787,"TXH2.2021","W10004_0697/PHZ51.TXH2.2021",0.329879239109163,1.61475332531349,239.096275336872,0.204290794103253,0.838300049774648,71.608160515719,0.289573052152332,1.62665984648419,246.640742370606,0.178016966963441,0.858855773738902,72.9982445497755,-1.3900840340565,1.3900840340565
-4.25094013019786,1.80794037697697,226.102683839361,-2.35126123866197,0.0195696386243829,"W10004_0701/PHZ51",10.0301661729832,"TXH2.2021","W10004_0701/PHZ51.TXH2.2021",-2.51179782683511,1.61449943156488,238.914544536436,-1.55577498370533,0.121085255901442,68.7664834497748,-1.89936617909661,1.62655343595715,246.556527516828,-1.16772442706681,0.244045925361791,70.8093053185265,-2.0428218687517,2.0428218687517
-5.19962420532583,1.81627234525928,228.578482148353,-2.86279985427161,0.00458927830320889,"W10004_0702/PHZ51",9.08148209785523,"TXH2.2021","W10004_0702/PHZ51.TXH2.2021",1.42541827765846,1.6204138440799,241.753296402865,0.879663107585851,0.3799153983768,72.7036995542683,-0.313806219435452,1.62816718995663,247.58581976272,-0.192735869738175,0.847323832817036,72.3948652781877,0.308834276080603,0.308834276080603
-5.86019259772314,1.79924936261281,221.987524304079,-3.25702079961455,0.00130228141408132,"W10004_0705/PHZ51",8.42091370545792,"TXH2.2021","W10004_0705/PHZ51.TXH2.2021",1.10552551450866,1.61479312707848,239.049123996124,0.684623618945416,0.494244685669403,72.3838067911185,0.680341093885654,1.62664432638661,246.625479768325,0.41824821987788,0.676129598562149,73.3890125915088,-1.0052058003903,1.0052058003903
-5.25766064397113,1.80779744577702,226.261840991898,-2.90832396973064,0.00399561261323984,"W10004_0712/PHZ51",9.02344565920993,"TXH2.2021","W10004_0712/PHZ51.TXH2.2021",-0.0633869215576278,1.61575261039807,239.474171517007,-0.0392305858890187,0.968739233628678,71.2148943550522,-0.131062602570796,1.62686555151024,246.785262991408,-0.0805614222079565,0.9358560399778,72.5776088950524,-1.36271454000021,1.36271454000021
-5.25726139158261,1.8038227410794,224.121039442924,-2.91451109460827,0.00392360465400308,"W10004_0713/PHZ51",9.02384491159845,"TXH2.2021","W10004_0713/PHZ51.TXH2.2021",0.988202173164888,1.61449943156488,238.914544523093,0.612079604269082,0.541067150769679,72.2664834497748,-0.399366179096612,1.62655343595715,246.556527524766,-0.245529086390945,0.806251041900033,72.3093053185265,-0.0428218687517017,0.0428218687517017
-3.73612784966496,1.80768344367301,226.155143380615,-2.06680426417668,0.0398911717295908,"W10004_0714/PHZ51",10.5449784535161,"TXH2.2021","W10004_0714/PHZ51.TXH2.2021",-0.252610400958171,1.61558573629108,239.432836215749,-0.156358400104529,0.875882280624145,71.0256708756517,-0.316640223859275,1.62688532296252,246.806748901229,-0.194629713225687,0.84584295314426,72.3920312737639,-1.36636039811221,1.36636039811221
-8.76416137927866,1.80545493961202,224.901985439628,-4.85426757931827,2.26022424886755e-06,"W10004_0729/PHZ51",5.5169449239024,"TXH2.2021","W10004_0729/PHZ51.TXH2.2021",-0.170120760890837,1.61475332531349,239.096275332733,-0.105354024186827,0.91618322712392,71.108160515719,-1.21042694784767,1.62665984648419,246.640742376363,-0.744118046845408,0.45751339946728,71.4982445497755,-0.3900840340565,0.3900840340565
