PEDIGREE,Range,Row,Rep,PLOT,TEST,Rust.1,Rust.2,Range_Row,Row.Odd
((GP474GT-1-B15)/Tx779),17,28,2,108,INEW,7,60,17_27,27
((LH195RR)/((LAMA2002-23-3-B/LAMA2002-58-4-B)-B-B-2-3-B-B-B-1-1//(LAMA2002-35-2-B-B-B-B/CG44)-1-3-B-1-1-B24)-B5-10-2-1-B9),17,26,2,109,INEW,9,75,17_25,25
((LH195 exPVP)/(((LAMA2002-22-1-B-B-B-B/LAMA2002-1-5-B-B-B-B)-2-1-B-1-1-1-BB/X/(LAMA2002-23-3-B/LAMA2002-58-4-B)-B-B-2-3-B-B-B-1-B23-B5-B27-B15)/((LAMA2002-23-3-B/LAMA2002-58-4-B)-B-B-2-3-B-B-B-1-B23-B5-B27/X/(Tx741);LAMA2002-42-B-B-B-B-B3-1-B12-B11))-11-,17,24,2,110,INEW,10,85,17_23,23
((((LAMA2002-23-3-B/LAMA2002-58-4-B)-B-B-2-3-B-B-B-1-B23-B5-B27/X/Argnetine Flinty Composite-C(1)-37-B-B-B2-1-B25)/((LAMA2002-23-3-B/LAMA2002-58-4-B)-B-B-2-3-B-B-B-1-B23-B5-B27/X/Tx772-B-B-B-B-B-B8-B29-B16)-3-3-3)/LH195RR),17,22,2,111,INEW,8,80,17_21,21
((((Tx781 /Tx790))/(Tx781 /Tx784))-1-B15)/Tx779,17,20,2,112,INEW,5,25,17_19,19
((GP739GTCBLLBL)/(LAMA2002-12-1-B/(CML 325/B104)-B-1-B-B-B-B)-B-B2-3-2-B-B-B-1-B--B2-B26-B13-1-B6-B15),17,18,2,113,INEW,7.5,50,17_17,17
((LH195RR)/((LAMA2002-23-3-B/LAMA2002-58-4-B)-B-B-2-3-B-B-B-1-B23-B5-B27/X/Argnetine Flinty Composite-C(1)-37-B-B-B2-1-B25)/((LAMA2002-23-3-B/LAMA2002-58-4-B)-B-B-2-3-B-B-B-1-B23-B5-B27/X/Tx772-B-B-B-B-B-B8-B29-B16)-2-1-B2),17,16,2,114,INEW,15,98,17_15,15
(((Tx777/Tx775)-B5-37-2-1-1-B12)/LH195RR),17,14,2,115,INEW,7,40,17_13,13
((GP474GT-B12-B15-B23)/(((LAMA2002-23-3-B/LAMA2002-58-4-B)-B-B-2-3-B-B-B-1-B23-B5-B27/X/Tx772-B-B-B-B-B-B8-B29-B16)/((LAMA2002-22-1-B-B-B-B/LAMA2002-1-5-B-B-B-B)-2-1-B-1-1-1-BB/X/(LAMA2002-23-3-B/LAMA2002-58-4-B)-B-B-2-3-B-B-B-B12-B5-B24))-5-1-B4),17,12,2,116,INEW,6,60,17_11,11
(((((LAMA2002-22-1-B-B-B-B/LAMA2002-1-5-B-B-B-B)-2-1-B-1-1-1-BB/X/(LAMA2002-23-3-B/LAMA2002-58-4-B)-B-B-2-3-B-B-B-1-B23-B5-B27-B15)/((LAMA2002-23-3-B/LAMA2002-58-4-B)-B-B-2-3-B-B-B-1-B23-B5-B27/X/(Tx741);LAMA2002-42-B-B-B-B-B3-1-B12-B11))-11-1-1-B13)/LH19,17,10,2,117,INEW,10,70,17_9,9
((4001-sib17/16-B19)/Tx779),17,8,2,118,INEW,4,10,17_7,7
((((B104-1 x Tx714-B/B110 x FR2128-B)-12-4-B-B-B-B/SCR82-B)-B-B-1-B-B-B2-1-1-B15-B17-B20-B24-1-B10-B14)/(LAMA2002-22-1-B-B-B-B/LAMA2002-1-5-B-B-B-B)-2-1-B-1-1-1-B19-B18-B3-B?-1-B18-B14),17,6,2,119,INEW,6.5,90,17_5,5
(GT1307-B14-B82)/Tx779,17,4,2,120,INEW,6,25,17_3,3
((WF18 Red Stalker inbred)/Tx779),18,3,2,121,INEW,6,30,18_3,3
((LH195RR)/((((TX772W/RedStalker-6)//TX772W)///TX772W)-B2////TX772W)-1-B4-B5-1-B11-B17),18,5,2,122,INEW,7,45,18_5,5
((((LAMA2002-23-3-B/LAMA2002-58-4-B)-B-B-2-3-B-B-B-1-B23-B5-B27/X/Argnetine Flinty Composite-C(1)-37-B-B-B2-1-B25)/((LAMA2002-23-3-B/LAMA2002-58-4-B)-B-B-2-3-B-B-B-1-B23-B5-B27/X/Tx772-B-B-B-B-B-B8-B29-B16)-3-3-2)/LH195RR),18,7,2,123,INEW,8,40,18_7,7
((GP724GTCBLL)/(LAMA2002-12-1-B/(CML 325/B104)-B-1-B-B-B-B)-B-B2-3-2-B-B-B-1-B--B2-B26-B13-1-B6-B15),18,9,2,124,INEW,7,40,18_9,9
(((PI 498703-3/ PI 390554-1)-OPB-B4-1-B10-B8-B2-1)/Tx779),18,11,2,125,INEW,7,35,18_11,11
((((B104-1 x Tx714-B/B110 x FR2128-B)-12-4-B-B-B-B/SCR82-B)-B-B-1-B-B-B2-1-1-B15-B17-B17-B6-1-1-B11-1-B23)/Tx779),18,13,2,126,INEW,9,85,18_13,13
((GP739GTCBLLBL)/((LAMA2002-23-3-B/LAMA2002-58-4-B)-B-B-2-3-B-B-B-1-B23-B5-B27/X/Argnetine Flinty Composite-C(1)-37-B-B-B2-1-B25)/((LAMA2002-23-3-B/LAMA2002-58-4-B)-B-B-2-3-B-B-B-1-B23-B5-B27/X/Tx772-B-B-B-B-B-B8-B29-B16)-2-1-B2),18,15,2,127,INEW,10,88,18_15,15
((GP724GTCBLL)/(Tx777/Tx775)-B5-12-2-1-1-B17),18,17,2,128,INEW,7,60,18_17,17
((Tx777-B50)/(NC300 x Tx714-B/B104-1/CML343)-2-1-B-B-B-B-B-B-B-B-1-B25-B23-B22-B26-1-B16),18,19,2,129,INEW,7,60,18_19,19
((((LAMA2002-22-1-B-B-B-B/LAMA2002-1-5-B-B-B-B)-2-1-B-1-1-1-BB/X/(LAMA2002-23-3-B/LAMA2002-58-4-B)-B-B-2-3-B-B-B-1-B23-B5-B27-B15)-1-11-1-2-B1-B9)/Tx779),18,21,2,130,INEW,7.5,65,18_21,21
((GP474GT-B12-B15-B23)/((LAMA2002-23-3-B/LAMA2002-58-4-B)-B-B-2-3-B-B-B-1-B23-B5-B27/X/Argnetine Flinty Composite-C(1)-37-B-B-B2-1-B25)/((LAMA2002-23-3-B/LAMA2002-58-4-B)-B-B-2-3-B-B-B-1-B23-B5-B27/X/Tx772-B-B-B-B-B-B8-B29-B16)-2-1-B2),18,23,2,131,INEW,11,90,18_23,23
((((LAMA2002-22-1-B-B-B-B/LAMA2002-1-5-B-B-B-B)-2-1-B-1-1-1-BB/X/(LAMA2002-23-3-B/LAMA2002-58-4-B)-B-B-2-3-B-B-B-1-B23-B5-B27-B15)-2-10-2-1-B1-B20)/Tx779),18,25,2,132,INEW,6,70,18_25,25
((((((B104/NC300)/(CML415/B104))-4-2-B-B-B/LAMA2002-22-3-B-B1)-B-B-B-B-B//Tx775)-B4-09-2-b4-B3-1-1)/Tx779),18,27,2,133,INEW,7,70,18_27,27
((((CML269/Tx110)/(CML 311/Tx110)-1-B-B-B-B/DTPWC8F31-1-1-2-2-BBBB-B)-B-B-3-1-B-1-B8-1-B18)/LH195RR),18,29,2,134,INEW,9,80,18_29,29
((((B104-1 x Tx714-B-B)-23-1-B-B-B-B/(CML288/NC300)-B-9-B1-B-B-B)-B-B-1-1-B-B-B-B-1-B15-1-B5-1-B20)/Tx779),18,31,2,135,INEW,7,65,18_31,31
BH8721VT2P (2021),18,33,2,136,INEW,9.5,87,18_33,33
((((LAMA2002-23-3-B/LAMA2002-58-4-B)-B-B-2-3-B-B-B-1-B23-B5-B27/X/Argnetine Flinty Composite-C(1)-37-B-B-B2-1-B25)/((LAMA2002-23-3-B/LAMA2002-58-4-B)-B-B-2-3-B-B-B-1-B23-B5-B27/X/Tx772-B-B-B-B-B-B8-B29-B16)-1-3-1)/LH195RR),18,35,2,137,INEW,8,70,18_35,35
((Tx777/Tx775)-B5-36-1-1-1-1-B36)/Tx779,18,37,2,138,INEW,7,65,18_37,37
((((((TX772W/RedStalker-6)//TX772W)///TX772W)-B2////TX772W)-1-B4-B5-1-B14-B10-B11)/LH195RR),18,39,2,139,INEW,7,84,18_39,39
